City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,la passe,45.5549,-0.8967,10.129999999999995,59,100,5.96,FR,1697416230
313,laojunmiao,39.8333,97.7333,6.740000000000009,40,87,1.02,CN,1697416230
314,padangsidempuan,1.3667,99.2667,23.0,96,100,0.77,ID,1697416230
315,tevriz,57.509,72.4042,4.910000000000025,76,100,3.75,RU,1697416230
316,novyy urgal,51.0736,132.5642,0.5500000000000114,62,97,2.43,RU,1697416231
317,chibougamau,49.9168,-74.3659,9.79000000000002,76,0,3.09,CA,1697416231
318,la'ie,21.6477,-157.9253,30.980000000000018,70,100,3.87,US,1697416232
319,kristiansund,63.1115,7.732,6.360000000000014,70,75,8.23,NO,1697416232
320,louisville,38.2542,-85.7594,13.010000000000048,63,100,4.12,US,1697416110
321,mili,6.0815,171.735,28.420000000000016,72,98,4.28,MH,1697416232
322,kruisfontein,-34.0033,24.7314,14.770000000000039,95,95,3.63,ZA,1697416233
323,okhotsk,59.3833,143.3,2.2900000000000205,76,100,4.55,RU,1697416233
324,grand falls-windsor,48.9332,-55.6649,8.060000000000002,90,100,2.12,CA,1697416032
325,kattivakkam,13.2167,80.3167,27.82000000000005,87,100,2.38,IN,1697416234
326,formosa,-26.1775,-58.1781,29.99000000000001,72,0,3.6,AR,1697416234
327,turbat,26.0023,63.044,26.129999999999995,79,61,1.28,PK,1697416235
328,emerald,-23.5333,148.1667,27.410000000000025,41,25,3.29,AU,1697416051
329,vallenar,-28.5708,-70.7581,18.110000000000014,47,98,1.66,CL,1697416235
330,lethem,3.3803,-59.7968,28.55000000000001,62,100,0.86,GY,1697416235
331,namibe,-15.1961,12.1522,17.49000000000001,80,12,2.67,AO,1697416236
332,galliano,29.4422,-90.2992,18.33000000000004,59,0,2.06,US,1697416236
333,ciudad lazaro cardenas,17.9583,-102.2,27.910000000000025,85,100,0.53,MX,1697416236
334,yatou,37.15,122.3833,16.49000000000001,33,0,7.57,CN,1697416237
335,petropavlovsk-kamchatsky,53.0452,158.6483,9.330000000000041,88,75,3.0,RU,1697416237
336,santa terezinha,-29.9002,-50.0904,18.24000000000001,90,91,9.29,BR,1697416237
337,kintinku,-5.8833,35.2333,24.470000000000027,54,99,2.61,TZ,1697416237
338,aykhal,66.0,111.5,-7.17999999999995,85,100,2.24,RU,1697416238
339,mount isa,-20.7333,139.5,29.870000000000005,16,0,8.23,AU,1697416230
340,kalmunai,7.4167,81.8167,25.680000000000007,86,31,2.59,LK,1697416238
341,pula,44.8683,13.8481,13.310000000000002,58,0,8.23,HR,1697416238
342,midvagur,62.0511,-7.1939,9.460000000000036,93,100,4.12,FO,1697416239
343,itoman,26.1247,127.6694,26.210000000000036,53,20,5.66,JP,1697416239
344,prince rupert,54.3161,-130.3201,14.050000000000011,84,40,9.26,CA,1697416239
345,ocean shores,46.9737,-124.1563,16.120000000000005,91,75,5.66,US,1697416240
346,verkhnevilyuysk,63.4453,120.3167,-7.25,81,100,2.68,RU,1697416240
347,lucapa,-8.4192,20.7447,18.55000000000001,85,100,0.87,AO,1697416240
348,las heras,-46.5419,-68.9359,13.04000000000002,34,98,5.55,AR,1697416235
349,leeton,-34.5667,146.4,16.610000000000014,48,93,9.8,AU,1697416241
350,alofi,-19.0595,-169.9187,26.939999999999998,61,14,8.23,NU,1697416241
351,faranah,10.0404,-10.7434,22.04000000000002,96,100,1.84,GN,1697416241
352,bakchar,57.0186,82.0711,2.32000000000005,91,97,2.14,RU,1697416242
353,lashio,22.9333,97.75,18.810000000000002,79,5,0.51,MM,1697416242
354,north bay,46.3168,-79.4663,8.860000000000014,94,100,4.12,CA,1697416214
355,cole harbour,44.6724,-63.4751,11.710000000000036,90,100,4.63,CA,1697416242
356,ingraj bazar,25.0,88.15,23.360000000000014,78,51,2.11,IN,1697416243
